Pathways	Pathways ID
wax esters biosynthesis I	PWY-5884
xylan biosynthesis	PWY-5800
Fe(II)-nicotianamine transport in phloem	PWY-5949
L-arginine degradation I (arginase pathway)	ARGASEDEG-PWY
homoglutathione biosynthesis	PWY-6840
L-arginine biosynthesis II (acetyl cycle)	ARGSYNBSUB-PWY
lycopadiene biosynthesis	PWY-7943
benzoyl-&beta;-<i>D</i>-glucopyranose biosynthesis	PWY-7468
xyloglucan biosynthesis	PWY-5936
"arachidonate biosynthesis I (6-desaturase, lower eukaryotes)"	PWY-5353
costunolide biosynthesis	PWY-6540
(5<i>Z</i>)-icosenoate biosynthesis	PWY-5361
sulfoquinovosyl diacylglycerol biosynthesis	PWYQT-4427
seleno-amino acid detoxification and volatilization II	PWY-6935
carbon concentration mechanism (Chlamydomonas)	PWYIO2-3
isoflavonoid biosynthesis I	PWY-2002
ergosterol biosynthesis II	PWY-7154
kauralexin biosynthesis	PWY-6887
superpathway of purines degradation in plants	P165-PWY
L-citrulline degradation	CITRULLINE-DEG-PWY
phytol salvage pathway	PWY-5107
betalamic acid biosynthesis	PWY-5394
L-nicotianamine biosynthesis	PWY-5957
adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I	PWY-7227
flavonol acylglucoside biosynthesis III - quercetin derivatives	PWY-7172
vitexin and derivatives biosynthesis	PWY-6015
gramine biosynthesis	PWY-5467
epoxypseudoisoeugenol-2-methylbutanoate biosynthesis	PWY-5882
7-dehydroporiferasterol biosynthesis	PWY-7155
benzoylanthranilate biosynthesis	PWY-6323
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	PWY-6755
luteolin glycosides biosynthesis	PWY-6239
pinobanksin biosynthesis	PWY-5059
L-tyrosine biosynthesis III	PWY-6120
alliin metabolism	PWY-5706
UMP biosynthesis I	PWY-5686
phosphatidylethanolamine biosynthesis III	PWY-6273
phosphatidylcholine biosynthesis II	PWY4FS-2
superpathway of L-citrulline metabolism	PWY-5004
phytosterol biosynthesis (plants)	PWY-2541
siroheme biosynthesis	PWY-5194
mevalonate pathway I (eukaryotes and bacteria)	PWY-922
indole-3-acetate inactivation VII	PWY-5811
"benzoate biosynthesis II (CoA-independent, non-&beta;-oxidative)"	PWY-6444
chlorophyll <i>a</i> degradation I	PWY-5098
NAD <i>de novo</i> biosynthesis I	PYRIDNUCSYN-PWY
cinnamate esters biosynthesis	PWY-5968
artemisinin and arteannuin B biosynthesis	PWY-5195
calmodulin regulated calcium transport	PWY-6188
pentagalloylglucose biosynthesis	PWY-5475
zealexin biosynthesis	PWY-6888
phenylethyl acetate biosynthesis	PWY-7075
isoprene biosynthesis II (engineered)	PWY-7391
superpathway of pterocarpan biosynthesis (via daidzein)	PWY-2055
superpathway of Allium flavor precursors	PWY-6176
N-glucosylnicotinate metabolism	PWY-5388
molybdenum cofactor sulfulylation (eukaryotes)	PWY-5963
pyruvate fermentation to ethanol I	PWY-5480
copper transport I	PWY-6135
&alpha;-eleostearate biosynthesis	PWY-5375
NAD <i>de novo</i> biosynthesis II (from tryptophan)	NADSYN-PWY
2-<i>O</i>-acetyl-3-<i>O</i>-<i>trans</i>-coutarate biosynthesis	PWY-7460
